;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
204;205;233;UNITED ENGINEERS & CONSTRUCTORS INC., Mt. Laurel, N.J., U.S.A.†;116.6;434.0;29.7;0;0;100;0;0;0;0;0;0;Y;UNITED ENGINEERS & CONSTRUCTORS INC.; Mt. Laurel,N.J.;U.S.A.;2022
205;206;184;ZHEJIANG DONGYANG THIRD CONSTR. ENG’G CO. LTD., Dongyang, China†;113.9;796.2;446.5;100;0;0;0;0;0;0;0;0;Y;ZHEJIANG DONGYANG THIRD CONSTR. ENG’G CO. LTD.;Dongyang;China;2022
206;207;181;GURBAG GROUP , Ankara, Turkey†;112.6;143.9;NA;96;0;0;0;0;0;4;0;0;Y;GURBAG GROUP;Ankara;Turkey;2022
207;208;151;IC ICTAS INSAAT SANAYI VE TICARET AS, Istanbul, Turkey†;111.6;738.1;NA;1;0;0;0;0;0;99;0;0;Y;IC ICTAS INSAAT SANAYI VE TICARET AS;Istanbul;Turkey;2022
208;209;**;SALCEF GROUP SPA, Rome, Italy†;111.5;440.2;NA;0;7;0;0;0;0;93;0;0;Y;SALCEF GROUP SPA;Rome;Italy;2022
209;210;215;FEKA INSAAT SANAYI TICARET AS, İzmir, Turkey†;104.6;105.7;NA;23;0;17;5;0;12;42;0;0;Y;FEKA INSAAT SANAYI TICARET AS;İzmir;Turkey;2022
210;211;193;JIANGSU ZHONGNAN CONSTR. INDUSTRY GROUP CO.LTD, Nantong, China†;102.7;14424.9;15934.2;100;0;0;0;0;0;0;0;0;Y;JIANGSU ZHONGNAN CONSTR. INDUSTRY GROUP CO.LTD;Nantong;China;2022
211;212;213;SICHUAN ROAD AND BRIDGE (GROUP) CO. LTD., Chengdu, China†;102.2;11901.7;6075.2;11;0;0;0;0;0;89;0;0;Y;SICHUAN ROAD AND BRIDGE (GROUP) CO. LTD.;Chengdu;China;2022
212;213;234;BOTHAR GROUP PTY LTD., Wakerley, Queensland, Australia†;101.1;183.2;225.7;0;0;0;10;37;53;0;0;0;Y;BOTHAR GROUP PTY LTD.; Wakerley,Queensland;Australia;2022
213;214;191;AECON GROUP INC., Toronto, Ontario, Canada†;100.0;3977.0;3721.0;0;8;22;4;0;0;66;0;0;Y;AECON GROUP INC.; Toronto,Ontario;Canada;2022
214;215;**;BAYBURT GROUP , Ankara, Turkey†;98.6;722.9;NA;0;0;0;0;0;0;100;0;0;Y;BAYBURT GROUP;Ankara;Turkey;2022
215;216;224;EGYPTIAN MAINTENANCE CO. (EMC), New Cairo, Egypt ;97.5;390.8;167.1;0;0;1;14;0;82;3;0;0;N;EGYPTIAN MAINTENANCE CO. (EMC);New Cairo;Egypt;2022
216;217;**;ZHONGTIAN CONSTRUCTION GROUP CO. LTD., Hangzhou, Zhejiang, China ;95.3;14478.8;14498.9;80;0;0;0;0;20;0;0;0;N;ZHONGTIAN CONSTRUCTION GROUP CO. LTD.; Hangzhou,Zhejiang;China;2022
217;218;226;THE WALSH GROUP , Chicago, Ill., U.S.A. ;89.6;5272.7;4314.8;87;0;0;0;1;0;13;0;0;N;THE WALSH GROUP; Chicago,Ill.;U.S.A.;2022
218;219;238;STFA CONSTRUCTION GROUP , Istanbul, Turkey†;89.2;91.9;37.0;0;0;0;0;0;0;97;0;0;Y;STFA CONSTRUCTION GROUP;Istanbul;Turkey;2022
219;220;246;WEEKS MARINE INC., Cranford, N.J., U.S.A.†;88.7;865.5;808.1;0;0;0;0;33;27;40;0;0;Y;WEEKS MARINE INC.; Cranford,N.J.;U.S.A.;2022
220;221;**;HANWHA ENGINEERING & CONSTRUCTION, Seoul, South Korea ;85.6;2266.9;5445.5;49;0;0;0;0;30;21;0;0;N;HANWHA ENGINEERING & CONSTRUCTION;Seoul;South Korea;2022
221;222;197;CHINA TRIUMPH INTERNATIONAL ENGINEERING CO. LTD., Shanghai, China†;85.0;2070.4;2429.0;0;0;48;0;0;52;0;0;0;Y;CHINA TRIUMPH INTERNATIONAL ENGINEERING CO. LTD.;Shanghai;China;2022
222;223;223;SMK GROUP , Ankara, Turkey ;84.2;84.2;NA;7;0;0;36;0;0;57;0;0;N;SMK GROUP;Ankara;Turkey;2022
223;224;205;NATA INSAAT TURZ. TASIMACILIK TIC. VE SAN. AS, Ankara, Turkey ;83.0;382.0;497.0;0;0;0;0;0;0;100;0;0;N;NATA INSAAT TURZ. TASIMACILIK TIC. VE SAN. AS;Ankara;Turkey;2022
224;225;244;SALFACORP SA, Santiago, Chile†;82.0;843.0;1658.0;100;0;0;0;0;0;0;0;0;Y;SALFACORP SA;Santiago;Chile;2022
225;226;220;ENERGOPROJEKT HOLDING PLC, Belgrade, Serbia†;80.9;156.9;25.4;57;0;12;0;0;0;30;0;0;Y;ENERGOPROJEKT HOLDING PLC;Belgrade;Serbia;2022
